SampleID	Accession	Soil_type	Plant_status_CIAT_passport	Plant_status	Municipality	Growth_type
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
sample-1	A1	Agricultural	Wild	Ancestral	Cundinamarca	Climbing
sample-2	A1	Agricultural	Wild	Ancestral	Cundinamarca	Climbing
sample-3	A1	Agricultural	Wild	Ancestral	Cundinamarca	Climbing
sample-4	A1	Agricultural	Wild	Ancestral	Cundinamarca	Climbing
sample-5	A2	Agricultural	Wild	Ancestral	Cundinamarca	Climbing
sample-6	A2	Agricultural	Wild	Ancestral	Cundinamarca	Climbing
sample-7	A2	Agricultural	Wild	Ancestral	Cundinamarca	Climbing
sample-8	A2	Agricultural	Wild	Ancestral	Cundinamarca	Climbing
sample-9	M1	Agricultural	Modern	Modern	Antioquia	Climbing
sample-10	M1	Agricultural	Modern	Modern	Antioquia	Climbing
sample-11	M1	Agricultural	Modern	Modern	Antioquia	Climbing
sample-12	M1	Agricultural	Modern	Modern	Antioquia	Climbing
sample-13	M2	Agricultural	Modern	Modern	Antioquia	Climbing
sample-14	M2	Agricultural	Modern	Modern	Antioquia	Climbing
sample-15	M2	Agricultural	Modern	Modern	Antioquia	Climbing
sample-16	M2	Agricultural	Modern	Modern	Antioquia	Climbing
sample-17	M2	Agricultural	Modern	Modern	Antioquia	Climbing
sample-18	M3	Agricultural	Modern	Modern	NA	Climbing
sample-19	M3	Agricultural	Modern	Modern	NA	Climbing
sample-20	M3	Agricultural	Modern	Modern	NA	Climbing
sample-21	M3	Agricultural	Modern	Modern	NA	Climbing
sample-22	M3	Agricultural	Modern	Modern	NA	Climbing
sample-23	M4	Agricultural	Modern	Modern	NA	Climbing
sample-24	M4	Agricultural	Modern	Modern	NA	Climbing
sample-25	M4	Agricultural	Modern	Modern	NA	Climbing
sample-26	M4	Agricultural	Modern	Modern	NA	Climbing
sample-27	M4	Agricultural	Modern	Modern	NA	Climbing
sample-28	M5	Agricultural	Modern	Modern	NA	Bush-Climbing
sample-29	M5	Agricultural	Modern	Modern	NA	Bush-Climbing
sample-30	M5	Agricultural	Modern	Modern	NA	Bush-Climbing
sample-31	M5	Agricultural	Modern	Modern	NA	Bush-Climbing
sample-32	M5	Agricultural	Modern	Modern	NA	Bush-Climbing
sample-33	Soil	Agricultural	Bulk_soil	Soil	Carmen	Bulk
sample-34	Soil	Agricultural	Bulk_soil	Soil	Carmen	Bulk
sample-35	Soil	Agricultural	Bulk_soil	Soil	Carmen	Bulk
sample-36	Soil	Agricultural	Bulk_soil	Soil	Carmen	Bulk